Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
Hoary Hunter,Medium,Fey,Cold,46,759,30,,46,36,35,37,+6 keen longsword of binding +46 (1d8+27/15-20 plus 1d6 plus binding),+6 keen longsword of binding +46/+41/+36/+31 (1d8+27/15-20 plus 1d6 plus binding),SLAs,"CL23, at will - discern location, fog cloud, hold monster, plane shift, true strike; 3/day - dimensional anchor, greater dispel magic, dominate monster; 1/day - contingent recall and resurrection, Mordenkainen's disjunction","DR 10/cold iron and epic, immunity to cold, LLV, SR 36",28,36,31,38,33,36,31,23,26,Any cold,always,NE,25,ELH,,,,,,,,,,,,,,,,
Hoary Steed,Large,Magical Beast,Cold,12,102,40,f90 (gd),23,13,19,22,Hoof +17 (3d6+6),2 hooves and bite +15 (5d8+3),-,,"Air walk, astral projection and etherealness, DR 5/cold iron and magic, DV60, immunity to charm, cold, and hold effects, magic circle against good, misty breath, SR 20",11,12,5,22,18,17,6,13,14,Any cold,always,NE,9    ,ELH,,,,,,,,,,,,,,,,
Hobgoblin,Medium,Humanoid,Goblinoid,1,6,30,,15,11,14,2,Longsword +2 (1d8+1/19-20) or javelin +2 (1d6+1),Same as Attack,-,,DV60,4,1,-1,13,13,14,10,9,8,Warm hills,usually,LE,1/2,MM1,,,,,,,,,,,,,,,,
"Hobgoblin, Duskblade",Medium,Humanoid,Goblinoid,3,26,30,,19,12,17,5,Masterwork longsword +7 (1d8+2) or longbow +5 (1d8),Same as Attack,"SLAs, spells (duskblade3)","CL3, combined total of 4/day - dancing lights, detect magic, flare, ghost sound, read magic","Arcane channeling, armored mage, DV60",6,3,3,15,14,16,13,10,8,Warm hills,usually,LE,3    ,MM5,,,,,,,,,,,,,,,,
"Hobgoblin, Spellscourge",Medium,Monstrous Humanoid,Goblinoid,5,41,30,,17,12,15,8,+1 spiked chain +9 (2d4+5),Same as Attack,-,,"DV60, spell eater",5,7,7,16,15,16,10,12,8,Warm hills,usually,LE,5    ,MM5,,,,,,,,,,,,,,,,
"Hobgoblin, Warcaster",Medium,Monstrous Humanoid,Goblinoid,4,33,30,,15,12,13,3,Masterwork staff +4 (1d6-1) or masterwork dagger +7 (1d4-1),Same as Attack,"Pillar of magic, SLAs, spells (wiz4)","CL4, at will - detect magic","DR 5/magic, DV60, spell eater, SR 14",4,6,6,8,15,16,16,10,12,Warm hills,usually,LE,4    ,MM5,,,,,,,,,,,,,,,,
"Hobgoblin, Warsoul",Medium,Monstrous Humanoid,Goblinoid,10,88,30,,20,14,17,9,Masterwork quarterstaff +10 (1d6-1) or masterwork dagger +14 (1d4-1),Masterwork quarterstaff +10/+5 (1d6-1) or masterwork dagger +14/+9 (1d4-1),"Soul tyrant, SLAs, spells (wiz9)","CL9, at will - detect magic","Cult of power, DR 10/magic, DV60, spell eater, SR 18",9,12,13,8,16,18,21,14,15,Warm hills,usually,LE,8    ,MM5,,,,,,,,,,,,,,,,
Hobyah,Tiny,Outsider,Native,3,16,30,c50,18,15,15,-5,Bite +5 (1d4 plus poison),Bite and 2 claws +3 (1d3),"Fear aura, improved grab, poison bite",,"DR 10/wood, DV60, resistance to acid 10, cold 10, and fire 10, scent, SR 10, vulnerability to wood",4,6,4,11,17,12,8,13,12,Any forest,always,NE,3    ,StSt,,,,,,,,,,,,,,,,
Hollyphant (elephant form),Small,Outsider,"Extraplanar, Good, Psionic",6,33,30,f60 (gd),24,15,23,2,Gore +7 (1d3),2 gores,"PLAs, SLAs, summon celestial, trumpet","ML6, at will - blessed sight, detect chaos, detect law, detect poison, detect thoughts, invisibility, know direction, see invisibility, suggestion; CL15, at will - bless, greater teleport (self +50lbs only); 3/day - cure moderate wounds, protection from evil; 1/day - banishment, flame strike, heal, raise dead","Alternate form, DR 10/cold iron or evil, immunity to disease and poison, invulnerability, SR 18 (22 vs. evil), telepathy 60ft",6,6,9,10,13,12,17,18,17,Beastlands,always,NG,8    ,BoED,,,,,,,,,,,,,,,,
Hollyphant (mastodon form),Large,Outsider,"Extraplanar, Good, Psionic",6,33,30,f60 (gd),28,10,24,16,Slam +11 (1d8+6),2 slams and gore +6 (2d6+3),"PLAs, SLAs, summon celestial, trumpet","ML6, at will - blessed sight, detect chaos, detect law, detect poison, detect thoughts, invisibility, know direction, see invisibility, suggestion; CL15, at will - bless, greater teleport (self +50lbs only); 3/day - cure moderate wounds, protection from evil; 1/day - banishment, flame strike, heal, raise dead","Alternate form, DR 10/cold iron or evil, immunity to disease and poison, SR 18 (22 vs. evil), telepathy 60ft",6,6,9,22,13,12,17,18,17,Beastlands,always,NG,8    ,BoED,,,,,,,,,,,,,,,,
Homunculus,Tiny,Construct,,2,11,20,f50 (gd),14,14,12,-8,Bite +2 (1d4-1 plus poison),Same as Attack,Poison,,"DV60, LLV",0,4,1,8,15,-,10,12,7,Any,always,Any,1    ,MM1,,,,,,,,,,,,,,,,
"Homunculus, Arbalester",Tiny,Construct,,1,5,10,,16,16,12,-9,Bite +1 (1d4-1) or masterwork light crossbow +7 (1d8/19-20),Same as Attack,Receive enhancement,,"DV60, LLV",0,4,0,8,19,-,12,10,7,Any,always,Any,1/2,MoE,,,,,,,,,,,,,,,,
"Homunculus, Dedicated Wright",Tiny,Construct,,1,5,10,,12,12,12,-7,Hammer +3 (1d3+1),Same as Attack,-,,"DV60, item creation, LLV",0,0,0,12,11,-,10,11,7,Any,always,Any,1/2,ECS,,,,,,,,,,,,,,,,
"Homunculus, Expeditious Messenger",Dimin.,Construct,,1/2,2,20,f100 (prf),17,17,14,-17,Sting +7 (1d2),Same as Attack,-,,"DV60, LLV, message",0,5,0,1,17,-,8,12,7,Any,always,Any,1/3,ECS,,,,,,,,,,,,,,,,
"Homunculus, Furtive Filcher",Tiny,Construct,,1,5,50,,16,16,12,-9,Bite +1 (1d4-1),Same as Attack,0,,"DV60, LLV",0,4,0,8,19,-,12,10,7,Any,always,Any,1/2,ECS,,,,,,,,,,,,,,,,
"Homunculus, Iron Defender",Small,Construct,,2,21,50,,17,13,15,-1,Bite +5 (1d6+3),Same as Attack,-,,"DV60, LLV",0,2,0,14,15,-,8,11,7,Any,always,Any,1    ,ECS,,,,,,,,,,,,,,,,
"Homunculus, Packmate",Small,Construct,,2,24,30,,15,11,15,0,Slam +5 (1d3+3),Same as Attack,Throw flask,,"DV60, feed potion, hold item, LLV, ready item",0,0,1,16,11,-,8,12,7,Any,always,Any,1    ,MoE,,,,,,,,,,,,,,,,
"Homunculus, Persistent Harrier",Small,Construct,,2,21,40,,18,14,15,-2,Spike +3 (1d6+1),Same as Attack,Sneak attack +1d6,,"DV60, LLV",0,3,0,12,16,-,11,10,7,Any,always,Any,1    ,MoE,,,,,,,,,,,,,,,,
Hook Horror,Large,Aberration,,10,65,20,c20,22,12,19,18,Claw +13 (1d6+7),2 claws and bite +8 (2d6+3),"Improved grab, power sunder, rending bite",,"Blindsense 60ft, light sensitivity",5,6,8,24,17,14,7,12,9,Underground,usually,NN,6    ,MM2,,,,,,,,,,,,,,,,
Horax,Medium,Vermin,,4,26,30,"b20, c30",16,13,13,5,Bite +6 (1d6+2),Same as Attack,"Improved grab, pounce, rake 1d4+2",,"DV60, tremorsense 100ft",6,4,1,15,16,15,-,10,3,Underground,always,NN,2    ,BoK,,,,,,,,,,,,,,,,
"Horax, Earthshaker",Garg.,Vermin,,32,400,30,"b20, c30",22,10,19,51,Bite +37 (3d6+15),Same as Attack,"Improved grab, pounce, rake 2d6+15, trample 2d6+22",,"DV60, tremorsense 100ft",26,13,10,41,16,27,-,10,3,Underground,always,NN,12,BoKR,,,,,,,,,,,,,,,,
Horned Beast,Medium,Magical Beast,,4,34,40,,17,12,15,8,Gore +9 (1d6+4),Gore and bite +8 (1d4+4 plus poison); or bite +8 (1d4+4) and bite +8 (1d4+4 plus poison),"Breath weapon 3d6 fire, poison, superior natural weapon fighting",,"DV60, light sensitivity, LLV, resistance to fire 10",7,6,2,18,15,17,2,12,7,Temperate hills,usually,NE,4    ,ToM,,,,,,,,,,,,,,,,
"Jackal, Dire",Large,Animal,,4,26,60,,13,11,11,12,Bite +7 (1d6+5),Same as Attack,Trip,,"LLV, scent",6,6,5,20,14,15,2,13,8,Warm deserts,always,NN,2    ,Sand,,,,,,,,,,,,,,,,
Jaguar,Medium,Animal,,4,30,40,c20,15,14,11,7,Bite +7 (1d6+4),Bite and 2 claws +2 (1d3+2),"Improved grab, pounce, rake 1d3+1",,"LLV, scent",7,8,2,18,18,16,2,12,6,Warm forests,always,NN,2    ,DDen,,,,,,,,,,,,,,,,
Kalothagh (Prickleback),Large,Animal,Aquatic,4,22,,s60,14,11,12,5,4 spines +4 (1d6 plus poison) or 4 spines +5 ranged (1d6 plus poison),4 spines and bite -1 (1d4-2); or 4 spines ranged,"Poison, spine proximity",,"Bladder, LLV",5,6,2,6,15,12,2,12,2,Warm aquatic,always,NN,2    ,BoKR,,,,,,,,,,,,,,,,
"Lizard, Giant, Quicksilver",Large,Animal,,4,30,40,c40,14,11,12,11,Bite +6 (1d8+4),Bite and 2 claws +1 (1d6+2),-,,"Blindsense 60ft, LLV, sprint",7,6,2,19,15,17,2,12,10,Underground,always,NN,2    ,DotU,,,,,,,,,,,,,,,,
"Lizard, Riding",Large,Animal,,4,30,40,c40,14,11,12,11,Bite +6 (2d4+4),Bite and 2 claws +1 (1d3+2),-,,Scent,7,6,2,19,15,17,2,12,10,Underground,always,NN,2    ,FRCS,,,,,,,,,,,,,,,,
Manta Ray,Large,Animal,Aquatic,4,18,,s30,12,9,12,9,Ram -1 (1d6+1),Same as Attack,-,,LLV,4,4,2,15,11,10,1,12,2,Warm aquatic,always,NN,1    ,MM1,,,,,,,,,,,,,,,,
Moose,Large,Animal,,4,30,30,,14,10,13,10,Gore +5 (1d8+3) or hoof +5 (1d6+3),Gore or 2 hooves,-,,"LLV, scent",6,5,2,16,13,15,2,12,6,Cold forests,always,NN,1    ,BoK,,,,,,,,,,,,,,,,
Riding Bird,Large,Animal,,4,26,60,,14,11,12,10,Bite +6 (1d8+4),Bite and claw +1 (1d6+2),-,,"LLV, scent",6,6,4,18,15,14,2,16,8,Warm plains,always,NN,2    ,323,,,,,,,,,,,,,,,,
"Riding Bird, Black",Large,Animal,,4,26,60,f90 (gd),14,11,12,10,Bite +6 (1d8+4),Bite and claw +1 (1d6+2),-,,"LLV, scent",6,6,4,18,15,14,2,16,8,Warm plains,always,NN,2    ,323,,,,,,,,,,,,,,,,
"Swarm, Birds",Dimin.,Animal,Swarm,4,18,10,f40 (avg),16,16,12,-,Swarm (1d6),Same as Attack,"Blinding, distraction",,"Immune to weapon damage, LLV",4,6,3,1,15,10,2,14,6,Temperate forests,always,NN,2    ,ToM,,,,,,,,,,,,,,,,
"Swarm, Crows (Murder of Crows)",Tiny,Animal,Swarm,4,18,10,f40 (avg),14,14,12,-,Swarm (1d6),Same as Attack,"Blinding, distraction",,"Half damage from slashing and piercing, LLV",4,6,3,1,15,10,2,14,6,Temperate forests,always,NN,2    ,ToM,,,,,,,,,,,,,,,,
"Swarm, Rat",Tiny,Animal,Swarm,4,13,15,c15,14,14,12,-,Swarm (1d6 plus disease),Same as Attack,"Disease, distraction",,"Half damage from slashing and piercing, LLV",4,6,2,2,15,10,2,12,2,Any,always,NN,2    ,MM1,,,,,,,,,,,,,,,,
Hound of Ill-Omen (against ethereal opponents),Medium,Undead,Incorporeal,4,26,40,f30 (prf),18,14,14,4,Bite +2 (1d6+3),Same as Attack,"Cursed howl, cynophobia, Wisdom drain",,"DV60, manifestation, superior low-light vision, turn resistance +4",3,5,7,15,18,-,6,16,18,Any land and underground,always,NN,5    ,DDen,,,,,,,,,,,,,,,,
Hound of Ill-Omen (against material opponents),Medium,Undead,Incorporeal,4,26,40,f30 (prf),18,18,14,2,-,-,"Cursed howl, cynophobia, Wisdom drain",,"DV60, manifestation, superior low-light vision, turn resistance +4",3,5,7,-,18,-,6,16,18,Any land and underground,always,NN,5    ,DDen,,,,,,,,,,,,,,,,
Hound of the Gloom,Large,Aberration,,12,156,40,c20,24,11,22,19,Bite +14 (2d6+6) or tentacle rake +14 (1d6+6 plus poison),Bite and 2 claws +12 (1d6+3) and 2 tentacle rakes +12 (1d6+3 plus poison),"Improved grab, poison, pounce",,"DV60, scent",13,6,11,22,15,24,10,17,10,Underground,usually,NE,9    ,LoM,,,,,,,,,,,,,,,,
Thudhunter,Medium,Animal,,4,30,30,b10,16,10,16,7,Claw +7 (1d6+4),2 claws and bite +2 (1d8+2),Improved grab,,"DV60, LLV, thud",7,4,2,19,10,17,2,12,6,Any temperate,always,NN,2    ,A&EG,,,,,,,,,,,,,,,,
House Brownie,Tiny,Fey,,1,3,30,f20 (avg),17,16,13,-10,Short sword +0 (1d3-2/19-20) or short bow +6 (1d2/x3),Same as Attack,SLAs,"CL5, at will - alter self, calm animals, detect magic, open/close, pass without trace, prestidigitation; 3/day - alarm, animate rope, charm animal, dancing lights, detect secret doors, entangle, knock, locate object, mage hand","DR 5/cold iron, LLV, SR 11",0,6,4,6,18,11,14,15,14,Temperate forests,always,CG,1    ,331,,,,,,,,,,,,,,,,
Howler,Large,Outsider,"Chaotic, Evil, Extraplanar",6,39,60,,17,12,14,15,Bite +10 (2d8+5),Same as Attack,"Quills, howl",,DV60,7,8,7,21,17,15,6,14,8,Pandemonium,always,CE,3    ,MM1,,,,,,,,,,,,,,,,
Howler Wasp,Small,Aberration,,2,13,10,f60 (gd),14,12,13,-2,Bite +3 (1d4+1) or sting +3 (1d3+1 plus poison),Bite and 2 claws +1 (1d3) or sting,"Inciting pheromone, poison",,DV60,2,1,4,12,13,15,3,13,6,Warm forests,usually,CE,1    ,MM4,,,,,,,,,,,,,,,,
"Howler Wasp, Queen",Large,Aberration,,8,71,20,,18,9,18,14,Bite +9 (1d8+4) or sting +9 (1d8+4 plus poison),Bite and 2 claws +7 (1d6+2) or sting,"Inciting pheromone, poison",,DV60,6,2,8,18,11,18,6,15,8,Warm forests,usually,CE,5    ,MM4,,,,,,,,,,,,,,,,
Titan Salamander,Large,Animal,Aquatic,4,30,40,s30,13,10,12,11,Bite +6 (1d8+6 plus 1d6 acid),Same as Attack,Acidic bite,,LLV,7,5,0,19,12,16,1,8,6,Temperate marshes,always,NN,2    ,Web,,,,,,,,,,,,,,,,
"Hulk of Zoretha, Female, Acid",Huge,Outsider,"Evil, Extraplanar",16,336,60,,32,8,32,41,Slam +31 (2d10+25 plus 2d6 acid),4 slams,"Breath weapon 14d10 acid, summon earth elemental, waking nightmare",,"Anathematic secrecy, blindsight 500ft, DR 10/epic, dark visiting, DV60, elder evil immunities, FH15, immunity to acid and paralysis, nondetection, quiescent invulnerability, resistance to electricity 20 and fire 20, sign (blood moon), SR 24, telepathy 1000ft, tongues, true seeing",23,10,14,45,10,37,16,19,10,Cold mountains,always,CE,16,ElderE,,,,,,,,,,,,,,,,
"Hulk of Zoretha, Female, Fire",Huge,Outsider,"Evil, Extraplanar",16,336,60,,32,8,32,41,Slam +31 (2d10+25 plus 2d6 fire),4 slams,"Breath weapon 14d10 fire, summon fire elemental, waking nightmare",,"Anathematic secrecy, blindsight 500ft, DR 10/epic, dark visiting, DV60, elder evil immunities, FH15, immunity to fire and paralysis, nondetection, quiescent invulnerability, resistance to acid 20 and electricity 20, sign (blood moon), SR 24, telepathy 1000ft, tongues, true seeing",23,10,14,45,10,37,16,19,10,Cold mountains,always,CE,16,ElderE,,,,,,,,,,,,,,,,
"Hulk of Zoretha, Female, Ice",Huge,Outsider,"Evil, Extraplanar",16,336,60,,32,8,32,41,Slam +31 (2d10+25 plus 2d6 cold),4 slams,"Breath weapon 14d10 cold, summon water elemental, waking nightmare",,"Anathematic secrecy, blindsight 500ft, DR 10/epic, dark visiting, DV60, elder evil immunities, FH15, immunity to cold and paralysis, nondetection, quiescent invulnerability, resistance to acid 20 and electricity 20, sign (blood moon), SR 24, telepathy 1000ft, tongues, true seeing",23,10,14,45,10,37,16,19,10,Cold mountains,always,CE,16,ElderE,,,,,,,,,,,,,,,,
"Hulk of Zoretha, Female, Lightning",Huge,Outsider,"Evil, Extraplanar",16,336,60,,32,8,32,41,Slam +31 (2d10+25 plus 2d6 electricity),4 slams,"Breath weapon 14d10 electricity, summon air elemental, waking nightmare",,"Anathematic secrecy, blindsight 500ft, DR 10/epic, dark visiting, DV60, elder evil immunities, FH15, immunity to electricity and paralysis, nondetection, quiescent invulnerability, resistance to cold 20 and fire 20, sign (blood moon), SR 24, telepathy 1000ft, tongues, true seeing",23,10,14,45,10,37,16,19,10,Cold mountains,always,CE,16,ElderE,,,,,,,,,,,,,,,,
"Hulk of Zoretha, Male",Huge,Outsider,"Evil, Extraplanar",16,256,80,f80 (clu),44,20,32,35,Claw +26 (1d8+11 plus poison) or spikes +26 (2d8 plus poison),2 claws +26 (1d8+11 plus poison) and bite +24 (2d6+11 plus poison); or spikes +26/+21/+16/+11 (2d8 plus poison),"Hypnotic gaze, poison, sneak attack +8d6, spikes, summon displacer beast",,"Anathematic secrecy, blindsight 500ft, dark visiting, DV60, elder evil immunities, FH15, immunity to paralysis and poison, improved uncanny dodge, nondetection, quiescent invulnerability, resistance to acid 20, cold 20, electricity 20, and fire 20, sign (blood moon), SR 24, telepathy 1000ft, tongues, true seeing",18,22,14,33,35,27,33,19,24,Cold mountains,always,CE,16,ElderE,,,,,,,,,,,,,,,,
Hulking Corpse,Large,Undead,,20,150,30,,21,9,21,22,Bite +12 (2d6+13) (adj for Pwr Atk),Bite and 2 claws +7 (1d6+9) (all adj for Pwr Atk),"Improved grab, rend 3d6+12",,"DR 5/bludgeoning and magic, DV60, mindless",6,6,13,26,10,-,-,12,8,Any,always,CE,9    ,LM,,,,,,,,,,,,,,,,
Hulking Growler,Large,Giant,Cold,8,84,40,,17,9,17,17,Slam +12 (1d8+10),2 slams,"Crush 1d8+14, SLAs","CL4, 3/day - cause fear, sleep","DR 5/piercing, LLV",12,2,4,24,11,22,8,10,8,Cold mountains,often,NN,6    ,DDen,,,,,,,,,,,,,,,,
Hullathoin,Huge,Undead,,16,104,60,,27,7,27,26,Bite +17 (2d8+10/19-20),Bite and 2 stamps +14 (1d8+5) and tentacles +14 (1d6+5 plus poison),"Deform, exude bloodfiend locusts, improved grab, improved grapple, poison, rebuke undead, ring of pus",,"Blindsight 60ft, DR 15/magic and silver, DV60, FH8, immunity to cold and electricity, resistance to fire 15 and sonic 15, scent, SR 26",7,4,13,30,8,-,12,16,12,Any land and underground,always,NE,15,FF,,,,,,,,,,,,,,,,
Hullock (Swamp Giant),Large,Giant,,14,119,40,,20,8,20,20,Slam +16 (1d8+7),2 slams,Mighty swat,,"LLV, plant traits (partial), vulnerability to fire, wetland stride",15,3,4,25,8,19,5,10,7,Warm marshes,always,NN,7    ,Web,,,,,,,,,,,,,,,,
Humbaba,Large,Undead,,26,169,40,s20,19,9,19,23,Slam +18 (2d12+6) or rock +12 (2d6+6),2 slams +18 (2d12+7); or 4 tocks +10/+10/+5/+0 (2d6+6),"Absorb weapon, endless arms, improved grab, melding touch, SLAs, throw rocks","CL20, at will - enervation; 3/day - circle of death, control undead, crushing despair; 1/day - repulsion, slay living, soul bind","DV60, play dead",8,8,19,22,10,-,15,14,12,Any warm,usually,LN,15,334,,,,,,,,,,,,,,,,
Hunefer,Medium,Undead,,50,603,100,,52,32,40,43,Slam +44 (3d6+18/19-20 plus hunefer rot +1d6 on critical hit]),2 slams,"Despair, hunefer rot, SLAs","CL27, at will - chain lightning, greater dispel magic, displacement, haste, knock, passwall, scrying, greater teleport, true seeing, unholy aura, weird; 1/day - ruin","Blindsight 300ft, DR 10/-, DV60, FH30, SR 37, vulnerability to fire",18,30,41,47,35,-,18,38,36,Any,always,LE,25,ELH,,,,,,,,,,,,,,,,
Hutijin,Huge,Outsider,"Baatezu, Evil, Extraplanar, Lawful",36,486,40,f60 (gd),46,17,42,56,+3 bloodfeeding fleshgrinding keen trident +50 (3d6+15/19-20) or claw +46 (1d8+12 plus 2d6 electricity),+3 bloodfeeding fleshgrinding keen trident +50/+45/+40/+35 (3d6+15/19-20); or 2 claws +46 (1d8+12 plus 2d6 electricity) and bite +41 (2d6+6 plus 2d6 electricity); or +3 bloodfeeding fleshgrinding keen trident +48/+43/+38/+33 (3d6+15/19-20) and +5 binding net +41 (entangle),"Aligned strike, aura of despair, electricity attack, epic strike, SLAs, summon baatezu","CL19, at will - blasphemy, create undead, greater dispel magic, mass hold monster, invisibility, limited wish (fulfill another's wish only), magic circle against good, power word kill, ray of enfeeblement, suggestion, greater teleport (self +50lbs only), unholy aura, wall of fire; 2/day - heal (self only); 1/day - symbol of persuasion","Change shape, DR 15/epic and good, immunity to electricity, fire, and poison, regeneration 10, resistance to acid 10 and cold 10, see in darkness, SR 39, telepathy 100ft, tongues, true seeing",29,24,29,34,19,28,21,28,26,Baator (Cania),always,LE,26,361,,,,,,,,,,,,,,,,
Hybsil,Small,Fey,,1,4,50,,16,14,13,-5,Dagger +3 (1d4-1) or shortbow +3 (1d6),Same as Attack,Sleep arrows,"CL1, 1/day - dancing lights, mirror image, jump; CL3, 1/day - pass without trace","Immunity to poison, LLV, see invisibility, sleep arrows",1,5,2,8,17,13,13,10,10,Temperate plains,usually,NG,1    ,MoF,,,,,,,,,,,,,,,,
"Hydra, 5-Headed",Huge,Magical Beast,,5,55,20,s20,15,9,14,16,5 bites +6 (1d10+3),Same as Attack,-,,"DV60, FH15, LLV, scent",9,5,3,17,12,20,2,10,9,Temperate marshes,usually,NN,4    ,MM1,,,,,,,,,,,,,,,,
"Hydra, 6-Headed",Huge,Magical Beast,,6,66,20,s20,16,9,15,17,6 bites +8 (1d10+3),Same as Attack,-,,"DV60, FH16, LLV, scent",10,6,4,17,12,20,2,10,9,Temperate marshes,usually,NN,5    ,MM1,,,,,,,,,,,,,,,,
"Hydra, 7-Headed",Huge,Magical Beast,,7,77,20,s20,17,9,16,19,7 bites +10 (1d10+4),Same as Attack,-,,"DV60, FH17, LLV, scent",10,6,4,19,12,20,2,10,9,Temperate marshes,usually,NN,6    ,MM1,,,,,,,,,,,,,,,,
"Hydra, 8-Headed",Huge,Magical Beast,,8,87,20,s20,18,9,17,20,8 bites +11 (1d10+4),Same as Attack,-,,"DV60, FH18, LLV, scent",11,7,4,19,12,20,2,10,9,Temperate marshes,usually,NN,7    ,MM1,,,,,,,,,,,,,,,,
"Hydra, 9-Headed",Huge,Magical Beast,,9,97,20,s20,19,9,18,22,9 bites +13 (1d10+5),Same as Attack,-,,"DV60, FH19, LLV, scent",11,7,5,21,12,20,2,10,9,Temperate marshes,usually,NN,8    ,MM1,,,,,,,,,,,,,,,,
"Hydra, 10-Headed",Huge,Magical Beast,,10,108,20,s20,20,9,19,23,10 bites +14 (1d10+5),Same as Attack,-,,"DV60, FH20, LLV, scent",12,8,3,21,12,20,2,10,9,Temperate marshes,usually,NN,9    ,MM1,,,,,,,,,,,,,,,,
"Hydra, 11-Headed",Huge,Magical Beast,,11,118,20,s20,21,9,20,25,11 bites +16 (1d10+6),Same as Attack,-,,"DV60, FH21, LLV, scent",12,8,5,23,12,20,2,10,9,Temperate marshes,usually,NN,10,MM1,,,,,,,,,,,,,,,,
"Hydra, 12-Headed",Huge,Magical Beast,,12,129,20,s20,22,9,21,26,12 bites +17 (2d8+6),Same as Attack,-,,"DV60, FH22, LLV, scent",13,9,6,23,12,20,2,10,9,Temperate marshes,usually,NN,11,MM1,,,,,,,,,,,,,,,,
"Toad, Dire",Medium,Animal,,4,26,30,,15,12,13,3,Bite +5 (1d4 plus poison) or tongue +5 (0),Same as Attack,"Improved grab, poison, swallow whole",,LLV,6,6,6,10,14,15,2,15,7,Temperate marshes,always,NN,3    ,MM2,,,,,,,,,,,,,,,,
Hypnosnake,Huge,Magical Beast,,4,22,20,"c20, s20",16,13,11,13,Bite +3 (1d4+1 plus poison),Same as Attack,"Improved grab, paralyzing gaze, poison, SLAs, swallow whole","CL9, 3/day - charm person; 1/day - charm monster","DV60, immunity to charm and compulsion effects, telepathy 100ft",4,7,2,12,16,10,5,12,18,Temperate hills,usually,LE,2    ,DDen,,,,,,,,,,,,,,,,
"Turtle, Giant Snapping",Medium,Animal,Aquatic,4,22,20,s30,17,8,17,5,Bite +6 (2d6+4),Same as Attack,"Capsize, snatch",,LLV,1,-1,0,14,8,13,2,10,3,Temperate aquatic,always,NN,4    ,LoMys,,,,,,,,,,,,,,,,
Ibrandlin,Garg.,Dragon,Fire,10,135,20,c20,17,6,17,34,Bite +18 (4d6+12),Bite and 4 claws +13 (2d8+6),"Breath weapon 2d6 fire, pin",,"DV60, immunity to fire, paralysis, and sleep, LLV, SR 20, vulnerability to cold",14,7,7,35,11,24,4,10,9,Any land and underground,always,LN,5    ,MoF,,,,,,,,,,,,,,,,
Ice Serpent,Large,Elemental,"Air, Cold",6,45,80,,16,9,16,13,Constrict +8 (1d8+7 plus 2d4 nonlethal cold),Same as Attack,Constrict 1d8+7 plus 2d4 nonlethal cold),,"DR 5/magic, immunity to cold, vulnerability to fire",5,12,3,20,25,16,4,13,11,Cold plains,always,NN,3    ,MoF,,,,,,,,,,,,,,,,
Ice Toad,Large,Magical Beast,Cold,5,37,30,,16,10,15,13,Bite +8 (2d6+6) or tongue +5 (1d4+4 nonlethal),Same as Attack,"Improved grab, sphere of cold, swallow whole",,"DV60, immunity to cold, LLV, vulnerability to fire",7,5,1,18,13,17,6,10,7,Cold marshes,often,NN,3    ,Frost,,,,,,,,,,,,,,,,
